scorer,,,Comportement,Comportement,Comportement,Comportement,Comportement,Comportement,Comportement,Comportement,Comportement,Comportement,Comportement,Comportement,Comportement,Comportement,Comportement,Comportement,Comportement,Comportement,Comportement,Comportement
bodyparts,,,snout,snout,middle back,middle back,front L foot,front L foot,front R foot,front R foot,hind L foot,hind L foot,hind R foot,hind R foot,L ear,L ear,R ear,R ear,tail base,tail base,tail end,tail end
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,out3_h264_acq1,img00161.png,,,,,246.03545629345334,233.89841186176477,241.68180966371546,218.7787192766804,286.33183005228307,164.5508422593479,236.9572649893247,176.40655963403617,,,,,284.6468117512278,130.1748968556547,354.136791779649,44.90221683078812
labeled-data,out3_h264_acq1,img00174.png,247.96767495791948,266.02120897467387,,,244.33775022868593,234.36573072497347,230.30988649950314,221.60818978133292,287.00068102389264,161.6676621452355,239.66380724815156,173.2107020884467,,,,,279.565822725612,123.26529138134867,337.6838445126179,41.44865876857335
labeled-data,out3_h264_acq1,img00227.png,426.3480615790449,310.0742681758502,,,,,377.15957428784395,289.8790929316423,356.1283395723343,237.91957186979496,,,,,,,308.65404085947824,211.91383157834048,303.26346685384584,97.51387212547473
labeled-data,out3_h264_acq1,img00246.png,390.49536895455276,299.1534600930205,,,,,,,352.2014131495366,232.09621307287915,334.9001599413332,282.68757235554716,,,,,,,,
labeled-data,out3_h264_acq1,img00296.png,385.0431782590339,300.8158479406516,,,359.9505315023369,254.46415323730852,346.0101721930608,279.90530897673744,343.91911829666935,214.7341292058716,296.8704056278625,255.50968018550424,,,,,285.3696091977097,189.9899914319065,,
labeled-data,out3_h264_acq1,img00301.png,391.18423354482195,302.43222053298706,,,360.4068168879786,253.59871943746225,,,343.99219467099545,216.25545389382563,297.21052135259356,256.88164388085886,,,,,286.5410169115545,189.58169279122805,,
labeled-data,out3_h264_acq1,img00441.png,,,,,,,,,488.7330621483102,241.00849297947093,484.3789629095038,288.5686538956636,,,,,430.7900492011177,255.41051353859967,291.1239428486365,206.17569906901997
labeled-data,out3_h264_acq1,img00464.png,563.9000792509428,250.06298265537995,,,537.6125445534507,242.09706305007933,,,488.6221389808518,242.8936550106094,484.24088319793645,292.28235656347334,,,,,424.09819017791665,259.2237902014757,302.21962021681685,213.021456490732
labeled-data,out3_h264_acq1,img00589.png,513.9116107116373,193.79534743608417,,,496.49521375641183,214.0360249786435,516.0133371298634,231.10359612478908,472.4180316535818,228.0620631845834,484.07724125770363,290.4134884588002,,,,,422.2327381401878,275.20582375777167,278.97385947385953,255.16814138242705
labeled-data,out3_h264_acq1,img00610.png,513.1486800418787,194.78960886378974,,,495.28570880575,216.0320611445914,517.4937270993154,229.06720231690153,469.2154264611297,229.06720231690153,485.147265671731,289.4150781146336,,,,,417.5576447782711,274.9315879231779,285.63386613386615,257.07100042814324
labeled-data,out3_h264_acq1,img00622.png,515.5308185226124,193.24591020088374,,,496.45787237673926,216.40591623515837,519.617878411014,230.48356696187432,471.48139528095294,228.6670959003626,483.28845718077923,289.0647586956278,420.16608779324645,274.07887243815594,,,,,,
labeled-data,out3_h264_acq1,img00654.png,,,,,485.8282446805047,198.6246861967976,505.01283439660375,210.8330614706788,471.8758157960691,229.14562438150062,484.5202044725889,289.3154739456294,,,,,421.2982610899898,281.90324610077295,307.49876300131143,268.38683061897586
labeled-data,out3_h264_acq1,img00729.png,,,,,,,,,450.9899115894039,246.46611347511453,506.1780440064299,248.33689762484423,,,,,468.76236101183605,298.3803736301136,,
labeled-data,out3_h264_acq1,img00958.png,,,,,450.7033089663623,208.80659488836,,,457.5560493916526,268.6252499892838,514.2905961259954,269.14575041803926,,,,,483.0605704006691,321.7162937223386,,
labeled-data,out3_h264_acq1,img00971.png,540.1499633990511,228.7173204199952,,,,,520.5097472206792,245.79576927075337,457.319486472874,267.57079155547007,515.8131737867208,267.57079155547007,,,,,471.8361679960184,332.4688971883511,,
labeled-data,out3_h264_acq1,img01003.png,,,,,542.9622615384711,213.98184767314615,564.9590622667445,232.5569238436881,514.122011694735,226.2022925221869,545.8951683022409,254.06490677799982,,,,,479.9047661174209,282.4163388277744,,
labeled-data,out3_h264_acq1,img01010.png,,,,,,,,,514.4736233126313,222.98062117272474,546.0627188989541,256.2036354962712,,,,,485.6077256216811,283.98025402907234,,
labeled-data,out3_h264_acq1,img01322.png,378.8823869548146,293.66813992238565,,,354.0432012764681,240.44131346878592,346.354881899837,254.04372467359474,373.5597043094546,199.0426706715417,310.87033093077054,172.42925744474184,,,,,362.3229298359169,153.50416359457307,460.4968541836675,85.49210757052901
labeled-data,out3_h264_acq1,img01364.png,332.1760839843675,325.269003344489,,,385.3531234404341,276.6663328738905,338.46584133938615,292.6766243230288,388.2121040563517,230.92264301920957,335.60686072346857,236.0688081278612,,,,,374.48899709994737,182.89176867179458,,
labeled-data,out3_h264_acq1,img01453.png,381.8947107687857,367.0110104680534,,,,,,,363.97139165685934,311.0685296035558,322.150313729031,326.27619430458424,,,,,323.77970637556973,251.8672634459806,,
labeled-data,out3_h264_acq1,img01483.png,396.89104512942924,352.64952859449176,,,374.59099632527233,336.0674410221699,362.5832777384186,344.6443828699226,360.8678893688681,311.4802077252789,318.5549762532882,329.2058875439678,,,,,320.2703646228387,257.15957602284533,364.2986661079691,125.64646769063768
labeled-data,out3_h264_acq1,img01486.png,398.8922282148343,355.62469395828884,,,,,,,363.4604816370908,310.8993745076947,320.4777071001561,327.1631270351835,,,,,321.0585554047093,258.62302709790924,366.3647231598567,120.96197891880757
labeled-data,out3_h264_acq1,img01534.png,412.873294052207,355.7438960999585,,,387.3461425897663,335.6480534593137,379.74231023925205,346.51067110290546,361.81899112732566,310.12090199687304,319.9979131994973,328.04422110879943,,,,,318.91165143513814,257.4372064254529,,
labeled-data,out3_h264_acq1,img01611.png,,,,,422.7584220743001,351.1675959824648,417.46440466994403,366.56837388604595,396.28833505251987,320.36604017530226,372.22461957817416,362.71817941015064,,,,,333.72267481922114,303.52143934326034,,
labeled-data,out3_h264_acq1,img01626.png,,,,,425.3420085535828,355.74928214787326,420.4990915208148,369.79374154290053,393.378756137314,320.39598780866686,369.6484626767508,360.5921991806413,,,,,331.8737098211604,302.4771947874253,,
labeled-data,out3_h264_acq1,img01632.png,,,,,424.93362731174926,357.0150939296997,414.88570599142685,371.58457984416714,395.2922594167982,322.3497653745875,371.67964431404056,361.5366585238448,,,,,334.50233542884774,305.7706951960555,312.3969085241385,172.13334163576775
labeled-data,out3_h264_acq1,img01658.png,,,,,,,,,393.31495221410415,322.5723434274985,368.3083011804189,360.8178097143112,,,,,332.0241408570325,300.0173248480961,309.9594487684867,167.13884582596478
labeled-data,out3_h264_acq1,img01762.png,453.8125759851892,334.2653176681291,,,,,,,394.4921227729135,320.84244139381855,369.3783542596873,361.97706223444766,,,,,325.2127613571171,306.5535731018105,283.2121484987905,181.85072255337695
labeled-data,out3_h264_acq1,img01783.png,468.02446565835226,359.85194196216844,,,433.6352286350146,342.0644055707869,434.03050722148976,360.6424991351188,395.68848433340065,321.1146404876042,370.39065479899136,363.0141706539696,,,,,332.8391890838526,308.46572572039963,286.1963158797855,200.94995019916013
labeled-data,out3_h264_acq1,img01815.png,437.7515915660323,338.6289216973736,,,417.8352838558857,332.6077123896549,418.7616237493809,346.9659807388303,390.9714269445253,320.1021238274699,369.2024394473883,361.78741903475327,,,,,324.73812455961934,306.67019537178965,,
labeled-data,out3_h264_acq1,img01941.png,,,,,452.33403944987265,363.79158707696496,438.46006280397404,397.3812147459827,424.9511908066517,339.6946802709305,386.25009805756616,363.0613777798124,,,,,359.2323540629215,307.5654711962179,245.31970370712241,266.30864590709837
labeled-data,out3_h264_acq1,img02028.png,,,,,446.68604893980546,365.3491355773666,438.5451204946914,397.48437943965894,424.83408311344664,339.21247056936886,385.4148506423681,364.4921957410388,,,,,357.13583604355085,307.07722670707653,245.30518740277353,230.80958127390272
labeled-data,out3_h264_acq1,img02194.png,474.157993300983,336.538818280026,,,429.28029546399955,317.2456023874911,445.2181694621805,339.4747424375857,381.8860912062506,332.7640586488779,402.018142572374,391.063124063277,,,,,336.16955789567874,374.70583232830165,,
labeled-data,out3_h264_acq1,img02340.png,296.49554235059554,217.54124082254106,,,,,338.49766390581703,241.19760813525204,353.9467201100365,302.5110499457478,408.9839828375681,309.2700120350938,,,,,380.0170024546567,344.9959545073512,,
labeled-data,out3_h264_acq1,img02359.png,205.85729987439504,208.28134206438546,,,221.7499129657278,229.70182057879046,253.53513914839328,210.35429159803755,289.46626439836297,262.17802993934,294.3031466435512,200.33503551871908,,,,,337.48959526130324,245.93992525906523,,
labeled-data,out3_h264_acq1,img02473.png,,,,,,,,,195.78857513258828,221.59542620560165,203.68811207451142,178.14797302502444,,,,,,,,
labeled-data,out3_h264_acq1,img02477.png,,,,,,,,,196.19949098520533,221.86810808239375,,,,,,,,,,
labeled-data,out3_h264_acq1,img02763.png,510.74526962990177,360.9698549139003,,,485.135650634084,377.92270129141343,491.62823009781243,394.15414995073456,459.8867304973623,383.3331841778538,454.1155487518259,438.15941076044953,,,,,387.74695867815734,410.74629746915167,,
labeled-data,out3_h264_acq1,img02851.png,482.1113296198314,359.3095201675294,,,456.3201562007756,372.8002878021124,468.22377470187826,386.68784272006553,426.56110994801895,377.56173520255345,455.52658163403544,437.0798277080668,,,,,373.7884012597972,429.144082040665,,
labeled-data,out3_h264_acq1,img03099.png,,,,,557.5409674768377,399.0478420318886,519.1355793191611,393.3389329814231,547.6801245714885,325.35101610769823,492.66700099427584,345.072701918397,,,,,510.8317116093932,294.21151219606844,,
labeled-data,out3_h264_acq1,img03106.png,554.0828686141435,423.3984060468698,,,555.1057651089152,391.1771664615657,520.3272842866821,397.31454543019504,545.3882484085852,325.2003425488001,495.7777684121647,361.0017198658047,,,,,500.89225088602245,297.582137189968,,
labeled-data,out3_h264_acq1,img03143.png,475.7068475583533,338.905978795161,,,503.5875661769055,321.6706254673287,482.8037577521666,324.7121584075344,521.3298416614386,266.92303254362616,478.241458341858,296.83143978898215,,,,,494.4629673562884,224.3415713807464,,
labeled-data,out3_h264_acq1,img03187.png,341.1849114400542,277.7509803325721,,,388.96232470911866,305.05235934346615,379.51184735919384,288.7765372408178,460.3659313529953,300.85214718794396,415.21365068113215,264.6253173465654,,,,,486.6172573250087,256.74991955496137,,
labeled-data,out3_h264_acq1,img03268.png,,,,,,,,,394.20460022194004,314.21559589156277,,,,,,,448.329101328031,277.41093513942087,,
labeled-data,out3_h264_acq1,img03270.png,322.6067194332501,303.0473615179623,,,349.53695900798806,310.94689845988546,349.8960288689845,285.81200819013,392.9844121885652,314.5375970698505,410.578835377394,249.9050220904794,,,,,460.8486159169048,273.24456305525234,,
labeled-data,out3_h264_acq1,img03277.png,322.2375752487375,309.4712872878482,,,351.84273441820994,312.01796764651255,349.6143891043787,286.23282901503654,396.4096406948351,310.7446274671804,410.41638266748873,249.3059638144043,,,,,464.53334028910496,274.45443235621417,564.1722093218455,227.0225106760917
labeled-data,out3_h264_acq1,img03428.png,308.9937250968975,314.96481476959156,,,349.8643239809115,311.8508643784286,328.455915041666,296.67035622150905,395.40584845167,310.68313298174246,376.3329023057968,261.2491705220302,,,,,444.4505671124869,267.8663151032515,560.4452191833077,226.99571621923747
labeled-data,out3_h264_acq1,img03477.png,340.6255869597528,370.8864303560322,,,345.04003407435687,329.9524662024305,333.0006328527093,331.9590330727051,386.37531160201354,317.91306498078296,340.6255869597528,281.3935479417854,,,,,418.88169490046187,258.518685620655,,
labeled-data,out3_h264_acq1,img03525.png,477.68678215668984,355.9721619401633,,,426.51932696468776,340.865579931096,434.3162725177547,358.8960165225634,404.59041759668685,284.3377246713603,343.1894713662843,281.9011791860269,,,,,380.7122718404192,250.71339697375896,,
labeled-data,out3_h264_acq1,img03777.png,290.9962184553818,209.72154412029835,,,,,,,336.8726736368177,170.12579411251136,330.5919684631687,129.43774755278545,,,,,395.3105391655515,131.8954147946481,,
labeled-data,out3_h264_acq1,img04057.png,,,,,220.86000806539988,220.8120449894052,220.86000806539988,191.98984643547053,293.20372643577593,221.67671094602326,266.3990817806167,172.6789734043343,,,,,330.9608065414304,184.49607481144753,440.4851610463822,123.68123586264537
labeled-data,out3_h264_acq1,img04157.png,,,,,,,,,237.43068541363272,227.29165586837496,220.8048277214683,179.49231500340224,,,,,,,,
labeled-data,out3_h264_acq1,img04288.png,,,,,284.31262030202885,105.24935336704169,304.1459496829535,112.33268528880052,248.42373856511762,117.05490656997307,266.8404015616905,161.91600874111214,,,,,213.0070789563236,170.88822917533994,,
labeled-data,out3_h264_acq1,img04305.png,,,,,328.794223347517,128.08773539725232,,,,,269.0226697636533,159.65721792394092,,,,,240.82059870647817,155.8688800207383,,
labeled-data,out3_h264_acq1,img04337.png,,,,,432.05597223203097,150.57859533430155,,,408.972088004229,107.96219368297497,,,,,,,347.83784515917125,97.05442421269495,,
labeled-data,out3_h264_acq1,img04568.png,,,,,,,,,473.60227837800267,411.4364764107776,429.3642680244752,413.074921238686,,,,,441.92567837177313,355.18320398592164,,
labeled-data,out3_h264_acq1,img04602.png,,,,,485.3417359471408,457.6906942077384,479.69920956005285,471.79701017545824,474.6209358116737,412.55048311103474,427.78796679884374,415.3717463045788,,,,,437.944514295602,351.6111981304849,453.1793355407395,221.26883858875328
labeled-data,out3_h264_acq1,img04631.png,486.6677586905216,451.3984475028431,,,477.3741858176709,422.9368805797377,454.14025363554407,439.7814814117797,475.63164090401136,378.79240943369666,426.840383321545,415.3858526205465,,,,,428.00207993065135,339.294724724081,433.2297146716299,207.4421595905111
labeled-data,out3_h264_acq1,img04707.png,490.34755792170836,70.13631900835486,,,,,507.6311895501788,105.24369575368553,463.8819969906129,151.15334226681023,505.47073559662,200.84378319866283,,,,,475.76449373518636,207.32514505933926,,
labeled-data,out3_h264_acq1,img04762.png,,,,,,,409.6205654228142,100.2415961115322,463.5941968394108,150.21718075652907,498.3772037523286,108.63749433189167,,,,,503.97446923256825,153.01581349664892,548.3527883973254,264.5613184242819
labeled-data,out3_h264_acq1,img05076.png,,,,,614.2741092092608,173.79679393693945,,,567.1270602062981,188.1320453229754,581.1437504504222,228.90787148769982,,,,,521.5728169128951,225.0851377847569,,
labeled-data,out3_h264_acq1,img05126.png,,,,,592.7585390662008,152.27644640934398,,,567.5678270113325,187.71422777466722,585.5001983046286,229.55642745902477,,,,,544.5119210628089,226.99466013141102,,
labeled-data,out3_h264_acq1,img05137.png,,,,,593.2144518037095,151.98943191205004,,,569.7511976935513,187.91753976822983,586.2487982397563,230.81130118836285,,,,,554.7200505292311,221.6459675515823,408.07471234074217,198.18271344142406
labeled-data,out3_h264_acq1,img05149.png,,,,,592.6154780146605,151.9092446720837,,,570.0061463470402,188.3141007470656,584.5680887770329,229.70067396915027,,,,,548.163232702051,226.63500187862547,424.003513035797,207.85776032416115
labeled-data,out3_h264_acq1,img05218.png,542.804244397437,93.78141635526072,,,577.8904993862384,145.48747633875757,,,570.9655806384486,186.57532757564348,609.2834643762186,185.19034382608552,,,,,583.4304343844701,230.43314631164526,,
labeled-data,out3_h264_acq1,img05555.png,,,,,,,,,403.05800172350973,429.81682507308915,340.22982823049085,446.06549063162856,,,,,,,,
labeled-data,out3_h264_acq1,img05561.png,481.57556080132485,399.1902479318021,,,440.9976491149298,428.3865502427449,,,399.92488484699334,427.89169766120347,344.5013957143562,446.69609575977677,,,,,345.98595345898036,397.7056901871779,,
labeled-data,out3_h264_acq1,img05790.png,456.5420817422795,212.6111211092454,,,458.7568487840563,286.8058170087671,468.72330047205173,247.4937020172295,438.2702536476212,298.43334397809514,477.02867687871463,338.299150730077,,,,,447.12932181472826,358.2320541060679,,
labeled-data,out3_h264_acq1,img05823.png,450.4948387381159,204.8042030697028,,,433.6939901160273,239.45595335276062,466.245634321324,238.9309268333203,415.3180619356179,277.25786275245997,480.94637686565153,281.4580749079821,426.34361884386357,224.2301842889928,,,427.39367188274406,341.3110981241728,,
labeled-data,out3_h264_acq1,img05855.png,,,,,,,,,429.78984841091096,255.4121127573083,495.6595548441355,271.0784213143995,,,,,,,,
labeled-data,out3_h264_acq1,img05885.png,,,,,,,466.44424710123303,285.8573445318231,429.6018689267176,257.47875593793964,446.52944808798145,328.17629243498277,,,,,387.28292102355795,312.74232319971276,305.13437509389513,417.2950180192836
labeled-data,out3_h264_acq1,img06250.png,,,,,,,214.12441157888568,403.80257573114716,308.9188548819632,428.8952224878442,274.5326352524155,369.41635610159943,,,,,331.223429776805,381.4980008363054,428.8059449417378,313.65491886449496
labeled-data,out3_h264_acq1,img06299.png,169.4936357507358,268.45024114947046,,,182.37790723355158,308.483513256791,,,237.13606103551876,396.37265087171306,250.0203325183346,337.01297154016885,,,,,276.2490280369239,382.10792173002415,,
labeled-data,out3_h264_acq1,img06354.png,,,,,,,,,159.3406367090745,289.9410852870556,172.56889108393733,251.90985395932486,,,,,211.01350536088256,291.181234134699,,
labeled-data,out3_h264_acq1,img06404.png,,,,,,,,,158.15084854095846,290.68749798885983,175.53103677070527,247.81636702215093,,,,,,,,
labeled-data,out3_h264_acq1,img06503.png,,,,,,,,,,,,,,,,,,,,
labeled-data,out3_h264_acq1,img06717.png,,,,,605.6214768205737,261.5158477851804,607.766843805183,286.5451292722898,575.5863390360425,256.152430323657,556.6355973386596,301.920259328657,,,,,509.79508484135494,256.5099914877585,,
labeled-data,out3_h264_acq1,img06794.png,,,,,461.6794390784585,352.7488008501791,,,522.5779892428449,321.50519685279824,,,,,,,524.6961996833452,268.54993584028836,478.09556999233655,164.22807164564387
labeled-data,out3_h264_acq1,img06798.png,,,,,461.9258624629682,351.53730215657066,,,521.2553678566136,321.13705972346315,,,,,,,533.0232036371713,266.2204927475269,,
labeled-data,out3_h264_acq1,img07038.png,444.70446835315647,263.05606135825906,,,465.86394230473627,260.5667114816026,441.80022683039056,243.9710456372263,505.69354033123943,224.05624662397472,470.42775041193977,195.84361468853496,,,421.4705361710296,252.68377020552387,,,,
labeled-data,out3_h264_acq1,img07124.png,,,,,345.35542225698,215.3003431505439,,,379.75371146168726,277.57935097380346,394.96137616271574,225.80087353934928,,,,,438.7739339918692,275.0447401902987,,
labeled-data,out3_h264_acq1,img07468.png,,,,,388.37047272376236,137.47822695863425,,,294.65625639746423,145.47432050183377,296.8951625895601,199.2080691121344,,,,,266.190163383674,167.22369493933638,,
labeled-data,out3_h264_acq1,img07541.png,485.39207965382826,100.03461798451482,,,447.13303509496103,137.57854021517892,,,398.86227794125006,145.08732466131173,420.3159477873438,205.51516139447585,,,,,372.760312961836,194.07320414322584,283.37002193644526,133.6453674100617
labeled-data,out3_h264_acq1,img07681.png,342.1245135336045,314.30329644206574,,,339.50692442087785,278.70408450898356,317.5191758739742,284.4627805569822,342.64803135614983,237.86969435044816,297.62549861725176,220.5936062064524,,,,,339.50692442087785,178.188662580281,435.8342037692179,107.51375653666196
labeled-data,out3_h264_acq1,img07699.png,348.1628171314914,329.3776074245503,,,339.23736630100683,276.8749554805234,324.011597237239,294.20083062205225,345.53768453429007,240.12309911970456,298.2852977846659,221.74717093929513,,,,,337.66228674268604,180.79510242295413,431.6420337224942,115.6918140123608
labeled-data,out3_h264_acq1,img07717.png,348.163593733218,333.59373633231405,,,339.59721276373,276.1485933604528,323.472260350576,293.281355299429,343.6284508670185,236.34011709047883,297.7731174421118,219.71125991441374,,,,,339.093308000819,181.41449793317298,435.339117716832,119.43421209511217
labeled-data,out3_h264_acq1,img07752.png,,,,,318.9535958490372,282.92992942475087,292.72640902734287,271.5483200492986,345.18078267073156,239.87775483064877,297.1800822612155,220.57850415053406,,,,,344.1910775076488,178.02118213797337,448.60497221288483,118.63887235300501
labeled-data,out3_h264_acq1,img07820.png,,,,,339.53193786104754,393.0775512443742,,,371.3503553754018,344.51259819614927,319.6767384099338,333.23415351437325,,,,,361.86065190620843,278.0846739117957,364.602516531088,146.70517577660428
