scorer,,,Comportement,Comportement,Comportement,Comportement,Comportement,Comportement,Comportement,Comportement,Comportement,Comportement,Comportement,Comportement,Comportement,Comportement,Comportement,Comportement,Comportement,Comportement,Comportement,Comportement
bodyparts,,,snout,snout,middle back,middle back,front L foot,front L foot,front R foot,front R foot,hind L foot,hind L foot,hind R foot,hind R foot,L ear,L ear,R ear,R ear,tail base,tail base,tail end,tail end
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,out1_h264_acq1,img00047.png,,,348.5692164977879,168.15420293991713,,,,,,,,,,,449.0401741116027,193.27194234337082,,,,
labeled-data,out1_h264_acq1,img00156.png,683.1390144409473,177.46683367194476,527.8185386042529,123.62730127015823,,,,,,,566.0653423508629,235.19440470253934,,,638.3596836415142,138.08260296882884,473.2696206942063,189.33605388384268,265.01875697636046,277.81569546344565
labeled-data,out1_h264_acq1,img00176.png,692.2360584653843,186.61946902431112,576.9123019837306,124.76901669758797,661.5419339632625,236.09656523668656,633.5965370284949,231.5153526244296,,,,,670.7043591877765,143.09794920786976,,,513.1106453261363,170.12710362018598,332.1527471419853,207.23492577946757
labeled-data,out1_h264_acq1,img00180.png,703.3356318485169,180.54774360110855,583.7689890092283,124.44775478077884,661.9689734254455,237.21439897517897,643.835643705743,236.08106586769756,,,,,673.3023045002597,140.88108483925924,,,518.0356687753067,166.38107975759095,342.93570366942913,211.14773750310658
labeled-data,out1_h264_acq1,img00377.png,363.8473414435357,241.89666260611557,599.1072730085119,178.43119269556382,535.0946869780416,347.49007375039565,471.6292170674899,327.2467773134093,646.7063754414257,323.4169644739795,,,,,,,670.779484717842,237.51973364676718,805.3700502178051,240.8024303662785
labeled-data,out1_h264_acq1,img00409.png,180.74099757168764,234.12416515249788,427.25574484567244,194.89260204713685,287.89586396394236,348.89112587862854,,,455.36193930921456,353.57549162255225,,,269.743946706238,214.21561074082211,248.6643008585813,192.55041917517502,512.1598739542895,263.401451052021,712.4165095070277,261.0592681800591
labeled-data,out1_h264_acq1,img00447.png,124.28630818462406,132.12699180210217,391.0540931484988,196.12591408559706,235.80918265883298,293.0747765546537,,,371.410859576337,366.57848927629135,311.8475061639754,337.43046526598675,204.7602005608998,132.76064449797832,,,473.42894361240303,286.7382495958918,598.2585247000119,262.65944715259667
labeled-data,out1_h264_acq1,img00497.png,87.11638361638364,61.97466818895373,309.75089196517774,213.82282003710566,138.49357785072073,213.82282003710566,,,252.665120593692,378.2298415869844,,,169.31989439132292,79.10039960039944,,,386.24582560296847,301.7349079491936,662.5409590409591,294.88461538461524
labeled-data,out1_h264_acq1,img00522.png,,,269.7908520051377,225.23997431140276,,,,,252.665120593692,378.2298415869844,,,122.50956186670476,196.69708862565994,165.8947481090338,186.42164977879247,378.2538176109605,273.1920222634508,,
labeled-data,out1_h264_acq1,img00547.png,,,288.05829884401317,236.65712858569987,,,,,,,,,171.6033252461824,194.41365777080046,219.5553731982303,179.57135721421423,398.8046953046953,315.43549307835013,679.6666904524049,293.7428999571856
labeled-data,out1_h264_acq1,img00621.png,,,297.1920222634509,240.08227486798899,,,,,250.38168973883262,377.08812615955463,,,175.02847152847153,194.41365777080046,238.96453546453552,184.1382189239331,385.1041101755387,312.01034679606096,667.1078207506779,299.4514770943341
labeled-data,out1_h264_acq1,img00657.png,,,308.609176537748,253.78285999714558,,,,,249.23997431140288,373.6629798772655,,,202.4296417867847,189.8467960610816,267.50742115027833,185.27993435136284,385.1041101755387,317.71892393320957,700.2175681461396,316.5772085057798
labeled-data,out1_h264_acq1,img00719.png,,,329.16005423148283,227.52340516626214,,,,,,,,,216.1302269159412,245.7908520051376,,,414.7887112887113,315.43549307835013,758.445054945055,350.82867132867125
labeled-data,out1_h264_acq1,img00747.png,,,255.41268892261775,242.67557999549462,,,,,,,,,261.1336675482428,152.57016664190076,326.92492174293034,160.43651225213512,265.42440151746155,351.3741738823697,494.26354654246165,402.86298151299474
labeled-data,out1_h264_acq1,img00808.png,,,250.38168973883262,270.9085914085913,,,,,,,,,184.16219494790926,209.2559583273868,261.7988440131297,204.68909661766793,252.665120593692,359.9623947481089,,
labeled-data,out1_h264_acq1,img00881.png,,,256.09026687598123,257.2080062794347,,,,,,,,,,,,,289.2000142714429,349.6869559012415,,
labeled-data,out1_h264_acq1,img00983.png,,,240.10625089196515,259.4914371342942,,,,,,,,,298.3337376908805,187.56336520622222,366.8366633366634,211.53938918224617,225.26395033537892,346.2618096189524,,
labeled-data,out1_h264_acq1,img01087.png,,,195.57934922220636,272.05030683602104,,,,,,,,,159.04445554445556,143.03646353646343,225.26395033537892,152.17018695590116,253.80683602112174,366.8126873126872,467.30762095047817,486.69280719280715
labeled-data,out1_h264_acq1,img01128.png,,,201.28792635935497,274.3337376908804,,,,,,,,,145.34387041529897,170.4376337947765,220.69708862566006,177.28792635935474,257.23198230341086,359.9623947481089,479.866490652205,488.9762380476666
labeled-data,out1_h264_acq1,img01237.png,685.3752675895533,184.1382189239331,500.41736834593985,159.0204795204794,,,612.3054802340517,286.89260739260726,,,,,,,643.1317967746539,156.7370486656199,415.930426716141,229.80683602112163,186.44562580276863,298.3097616669045
labeled-data,out1_h264_acq1,img01286.png,632.4267210325745,166.08597864493981,,,608.1487705991468,272.36945054238964,560.6718897515551,299.88446103360764,,,,,603.2931805124613,142.88704823077563,,,,,,
labeled-data,out1_h264_acq1,img01311.png,,,,,588.4062373130143,275.02286215418997,552.0544873687345,300.8378729841858,,,,,,,,,,,,
labeled-data,out1_h264_acq1,img01332.png,,,510.04543591606534,167.19284317409648,577.752131688573,302.6062347191115,527.7080522045455,319.28759454712065,,,,,579.2240163792796,193.68676760681683,512.9892052974787,194.17739583705236,,,,
labeled-data,out1_h264_acq1,img01416.png,,,,,571.0692062631656,345.522391235953,467.4724217962307,344.4144042363066,,,,,,,,,,,,
labeled-data,out1_h264_acq1,img01422.png,689.0287162225122,246.788203244084,,,636.0191421217844,325.7503813316265,550.4307672716509,367.71629416136943,,,,,638.2278743759814,197.09172752465162,582.4573849575073,233.53580971890204,,,,
labeled-data,out1_h264_acq1,img01433.png,720.2103016774014,222.1877470669799,528.6488683410398,192.9974334157248,644.9540242952594,355.3685531008314,604.8173430247836,363.5783288152469,,,492.61707492777174,352.63196119602617,687.8272974705403,187.06815095531357,611.6588227867965,223.09994436858162,,,,
labeled-data,out1_h264_acq1,img01506.png,,,,,,,,,628.1833883584887,384.59234830627713,509.96733097955337,381.05294539074015,545.3613601349233,175.76757628959496,462.5393319113578,189.92518795174288,,,,
labeled-data,out1_h264_acq1,img01538.png,402.31273693787705,194.51524135013068,,,,,,,624.5872400335998,382.8114764566984,515.5736302350606,382.8114764566984,508.4948244039866,142.1320782001833,438.41464667635427,130.80598887046494,,,,
labeled-data,out1_h264_acq1,img01555.png,,,,,524.5208406991217,243.79415804734356,498.45055835450137,253.20842667178977,627.3536210584572,381.38731486617274,520.8999681512578,376.31809329916325,571.5921838213527,96.78673260406816,,,,,,
labeled-data,out1_h264_acq1,img01560.png,,,,,515.2255942288053,252.9354128816807,484.43007320922266,265.2536212895138,621.299055518479,381.59225625238173,513.1725594941665,379.5392215177428,552.1802194523045,108.53863654541516,,,,,,
labeled-data,out1_h264_acq1,img01604.png,172.93146763326587,267.5523141221625,461.0352440854287,226.71430309107922,349.7097071650784,477.33661736402865,310.54997055993005,424.1912605427559,502.43267992515695,434.8203319070104,,,300.4803240043205,250.2101450541682,252.36979046085253,220.0012053873395,,,,
labeled-data,out1_h264_acq1,img01696.png,,,,,361.12808619951477,312.01034679606096,326.87662337662346,293.7428999571856,511.83452262023695,426.18188953903234,428.4892964178679,396.4972884258598,436.48130440987586,130.47759383473658,325.7349079491937,113.35186242329087,,,,
labeled-data,out1_h264_acq1,img01778.png,261.1066793747072,201.37882251695964,562.0717951168826,233.3963880214464,,,,,498.7481655635644,438.30880725016164,426.886518542383,397.04172282215643,381.3504253804463,192.8408050490965,344.35234968637275,165.80374973419657,616.8574072023376,335.14109618014874,644.6059639728928,271.1059651711752
labeled-data,out1_h264_acq1,img01804.png,259.94616075613646,243.35644886939485,546.1707043559582,231.35144593695202,,,,,494.3596390685732,440.49123386529845,,,352.82697291766794,216.81907396610018,,,,,647.265465892319,271.1575082918941
labeled-data,out1_h264_acq1,img01938.png,,,496.6720835225494,232.31830942904554,,,,,367.4431422892859,443.89313414583046,,,,,,,597.049912294433,327.887619457366,,
labeled-data,out1_h264_acq1,img01955.png,236.51502016460518,213.14178822394047,503.786106412633,263.33070260988234,,,,,366.52244899565943,441.1083029649054,,,310.2866774547848,208.90898821548757,332.66004892803596,181.69813101829016,612.6295352014226,357.05698851134014,850.2710213902799,330.45081702963597
labeled-data,out1_h264_acq1,img02011.png,217.0431947358,363.61002649162157,437.80606608075334,247.27149746539214,305.3483432737813,495.3669147863874,277.3149627855333,463.1285272249021,,,,,334.78339278644177,315.2524451493937,224.7523743700682,290.72323722217664,534.5212287652091,329.96996990572393,779.8133080373794,310.3466035639503
labeled-data,out1_h264_acq1,img02111.png,62.28628830977644,293.1603874324713,392.17000337992647,269.1944765085715,220.88422824734857,471.494959895608,,,402.7431993757646,474.3144788278315,,,183.52560239538712,277.653033305242,156.03529280620796,245.93344531772755,510.5897985333136,340.387329547215,765.0513821664849,321.35557675470636
labeled-data,out1_h264_acq1,img02151.png,108.35331150326687,305.2108318661983,400.1007070131055,257.62083118019626,218.01722612753247,461.7750370215963,,,400.7904171679751,474.189819809249,,,173.8757762158784,281.0709764457625,,,522.8691145798933,344.5243106937652,771.1647703329476,321.07416542819897
labeled-data,out1_h264_acq1,img02272.png,,,525.4452544392909,263.42424785215655,,,,,407.20204051624665,478.8227139794858,,,294.2308170228922,237.06429570370716,330.3816085407656,197.14779673605528,637.6633364426898,408.780555413606,,
labeled-data,out1_h264_acq1,img02314.png,,,534.0413298828047,295.33264404932515,,,,,401.6187790623253,477.8173787165713,,,346.71186774651676,208.12754960657037,455.7182357999602,190.36354888674998,639.0104250453799,427.75519486980465,,
labeled-data,out1_h264_acq1,img02355.png,,,480.2495866621231,274.60856191726316,,,,,,,,,456.3518278462211,174.23797489047513,556.7224148730091,190.48845088528844,522.3096421781105,431.37785974957967,924.7479006378985,524.1011639552792
labeled-data,out1_h264_acq1,img02495.png,,,805.9000453550495,162.0442339764749,,,,,,,,,,,898.4785146588345,181.78523110742907,730.3396770262252,231.47808595431354,549.2670826526462,381.91809857296397
labeled-data,out1_h264_acq1,img02511.png,,,783.1508915818179,166.6570083501008,,,,,,,820.0928437513995,285.8470804444116,831.2451311988204,138.77628973154856,877.9453348848954,146.44348735165045,734.3596339993514,229.38862524184333,555.2260168751534,384.1266135748082
labeled-data,out1_h264_acq1,img02530.png,,,787.7176111722893,175.7940448679198,,,,,,,,,,,,,729.3201787203399,250.87645802042618,484.6071284455044,373.23298315784393
labeled-data,out1_h264_acq1,img02610.png,760.59193998048,248.48011025516155,,,828.5484759587902,311.9395225290247,782.5778780911098,338.9222647557067,,,,,826.5497543123693,191.01686292056104,742.603445162692,202.0098319758759,,,,
labeled-data,out1_h264_acq1,img02616.png,,,,,,,,,,,807.9049333474195,322.1473958941491,847.4448615700935,153.11420274221746,768.3650051247454,144.21771889211578,,,,
labeled-data,out1_h264_acq1,img02629.png,,,836.2507362982094,180.65705774332844,,,,,892.3163268293343,338.5560678105785,,,765.8826992030218,268.7601285779535,,,,,,
labeled-data,out1_h264_acq1,img02649.png,415.9960708723884,199.0862670632796,787.89951113604,258.5590986619446,,,,,707.0164601618557,500.4152804965155,631.6842068035467,445.7002754257437,596.0005078443477,181.6409031276712,,,,,,
labeled-data,out1_h264_acq1,img02708.png,168.1781789638933,225.23997431140276,524.3933923219638,307.4434850863421,276.64114456971606,495.8265306122448,244.673112601684,492.4013843299557,492.42536035393186,614.5649350649351,346.28578564292854,565.4711716854574,317.7428999571857,230.94855144855137,,,,,,
labeled-data,out1_h264_acq1,img02732.png,,,,,199.00449550449548,370.2378335949764,,,504.9842300556587,614.5649350649351,347.4275010703583,564.3294562580277,261.7988440131297,136.18617097188508,,,,,,
labeled-data,out1_h264_acq1,img02799.png,,,357.70293991722565,323.4275010703581,,,,,225.26395033537892,565.4711716854574,,,97.39182246325106,193.27194234337082,,,473.01619808762666,454.72477522477516,801.8302411873841,389.6469958612815
labeled-data,out1_h264_acq1,img02845.png,,,383.182087661863,337.9411350257748,,,,,218.61343036144763,564.6801739730138,,,154.98021620528704,261.142428285581,239.82450174683453,230.42294558950346,473.14628698609005,470.3274771207756,838.8544143203465,324.7756424417416
labeled-data,out1_h264_acq1,img02873.png,,,400.6802570448822,363.6043950872897,,,,,219.05366917147978,569.9180919920283,,,212.00020944824087,196.96640912577004,272.83629956117665,172.27930009443378,477.3866315351055,522.3072388601656,,
labeled-data,out1_h264_acq1,img02895.png,,,372.5452404738119,315.43549307835013,,,,,226.40566576280867,566.612887112887,,,189.87077208505787,98.50956186670453,,,484.43335236192377,485.5510917653774,,
labeled-data,out1_h264_acq1,img02912.png,,,374.82867132867136,338.2698016269444,,,,,224.12223490794918,568.8963179677465,,,165.8947481090338,275.47545311831016,,,481.00820607963465,493.54309975738545,,
labeled-data,out1_h264_acq1,img03192.png,,,,,,,,,,,,,,,,,,,,
labeled-data,out1_h264_acq1,img03226.png,586.2443057417165,157.59753092225714,307.2560759288011,217.64064994721065,471.0100369059471,358.95425330896995,446.1436946834916,362.59323021957323,,,293.30666443815534,382.60760322789105,472.2230292094815,166.69497319876524,503.15433294960906,175.18591932350614,,,,
labeled-data,out1_h264_acq1,img03235.png,557.7764576608284,127.19221323279504,309.5765071224,211.62552974015995,,,476.7431404759078,360.0921668202244,,,291.4431774026974,381.62549586237117,,,,,,,,
labeled-data,out1_h264_acq1,img03271.png,,,294.33540366339196,223.95307999916633,,,471.2385632981058,359.4533724853302,,,296.48620195682315,386.8760507265776,,,,,,,,
labeled-data,out1_h264_acq1,img03305.png,,,432.4731578177825,212.54322178305324,,,,,,,497.3664356205999,372.16576718308653,,,,,372.0552784841251,319.95278504288876,164.6951494130539,291.6085947382099
labeled-data,out1_h264_acq1,img03320.png,,,,,,,,,,,,,,,,,,,,
labeled-data,out1_h264_acq1,img03326.png,633.2300143229725,216.38645211408158,381.50695479547244,208.10189572456892,549.7471768594218,352.12572218840444,550.3844504278459,374.43029708324616,,,447.7834059115737,385.2639477464551,551.0217239962699,176.23821730336635,,,278.26863671077615,311.97748737768916,115.23808985996799,331.10717259638733
labeled-data,out1_h264_acq1,img03361.png,649.9820893392322,234.3736977308405,375.9703867561011,228.66512059369188,550.6528471528472,355.3955330383901,547.2277008705581,373.6629798772655,,,,,568.9202939917226,182.99650349650335,546.0859854431284,229.80683602112163,291.4834451263023,325.71093192521755,,
labeled-data,out1_h264_acq1,img03434.png,662.1821694958458,194.6078270611797,401.64228531429706,215.7899314661837,,,542.8563146809901,376.06785479738033,,,447.53684485847225,382.4224861188815,,,,,299.96818417027805,312.52154158236846,101.56247291007432,347.8250489240417
labeled-data,out1_h264_acq1,img03449.png,684.6492467618187,186.06854028374187,433.6240782404464,207.35246978430712,597.0095370536089,352.5839887293405,545.0517091551702,373.86791822990574,,,,,595.179748822606,173.86278007706562,,,325.9524348846458,309.3901318017228,115.61713158494231,344.4460156850067
labeled-data,out1_h264_acq1,img03509.png,,,,,666.9665478821325,174.4571463057975,633.2562244615193,200.18344575837068,561.4000087491597,349.2185598284499,556.0773261037998,391.80002099132963,,,,,399.9453018399073,304.86287111711675,151.553445056442,361.6381526676231
labeled-data,out1_h264_acq1,img03551.png,425.83071963137814,411.575380202763,448.4738461094452,200.92568842195737,507.48320602198356,393.73534115943744,475.9200600222537,401.96920533328,555.5140803693985,347.0767775076629,,,462.1969530658494,291.49819433422556,362.01827228409826,294.24281572550643,,,249.4887952415832,286.00895155166387
labeled-data,out1_h264_acq1,img03758.png,,,439.6375547393612,95.62541015179175,,,,,417.26418326610997,223.81878183636613,476.523383384451,219.5859818279132,,,,,,,554.5278406830835,225.02815326735268
labeled-data,out1_h264_acq1,img03778.png,555.6761270889695,129.85824358542436,410.48819010099567,148.76644003036978,,,510.4315141671358,234.52861676280077,,,474.6409994677748,250.7356422870397,,,,,374.0223826714581,227.77568946103457,257.1967403509025,371.6130409886551
labeled-data,out1_h264_acq1,img03865.png,,,479.8921151146172,151.5252190333128,616.6488503748897,137.26622293982462,610.815624700281,155.41403614971864,563.501683117343,253.93073643200034,555.0759126984638,275.3192305722325,,,,,435.81885446201744,248.09751075739155,201.84169129159847,301.24467801493824
labeled-data,out1_h264_acq1,img03965.png,666.9981218907498,173.39052777501053,484.1042286255951,151.29596348794485,578.0061268456242,264.22373651072496,563.2764173209138,280.18092182916126,,,,,606.2380701013192,143.93110872558964,594.5770500609235,169.09436249696995,411.68315679576875,219.4208700397307,215.9007676964924,271.58859127308017
labeled-data,out1_h264_acq1,img04039.png,755.1300895513521,58.116791428469355,578.6668659312036,148.96267321810126,723.758849796659,194.05883036547255,,,656.4413978230468,282.29044217554673,606.11670071656,301.24389952734043,,,,,528.9957363196063,243.72995997706985,310.70419302653386,270.5262272675368
labeled-data,out1_h264_acq1,img04096.png,,,661.6613771342411,155.7691894335759,,,,,,,645.4109011394278,299.9921638875439,,,814.6866927520663,201.81220475221357,558.0645926673063,203.84351425156518,319.0471749102608,219.4168870799279
labeled-data,out1_h264_acq1,img04149.png,887.2144879898046,209.0777027718554,711.077142898964,147.8668523502157,,,784.7800036107342,290.2757696577039,,,648.6170914483114,297.77097583178227,,,817.2592303650736,194.08729042369873,606.768856976374,204.0808986558032,401.2752877037266,262.79334701941673
labeled-data,out1_h264_acq1,img04184.png,,,694.3182194548888,152.7642273061037,,,781.5903000397793,290.1473735171567,,,688.1247169617677,299.719150097435,,,831.1383199847492,223.14493745520872,592.9699968401778,227.64930290475144,367.1886786818487,268.18859195063595
labeled-data,out1_h264_acq1,img04202.png,,,752.7075769084475,155.61356433146858,,,,,,,743.4743519113945,295.34303595353754,,,883.8193718666002,209.16626931437605,656.0664886059594,206.70407598182862,411.0782520174862,263.3345226304204
labeled-data,out1_h264_acq1,img04207.png,,,768.1639217782362,153.48869148548022,,,,,,,751.7396439011253,294.4637432640143,,,894.7677304142982,192.49635144361827,670.986944338664,205.49890476299765,426.67581091664147,273.93339591762583
labeled-data,out1_h264_acq1,img04218.png,841.9516494060011,107.2246400021582,719.9970411213964,168.20194414446064,,,,,,,755.5178008159414,296.076679044823,776.2382439710927,127.35307049573379,828.335358189759,136.23326041937003,638.8913064855184,243.3875521645811,409.19039379412675,271.8041599202172
labeled-data,out1_h264_acq1,img04238.png,,,676.6803264841656,162.92580781570342,,,,,,,745.6398441582342,296.60118053774386,,,815.6602774888268,171.41313306789647,597.642110073118,254.16455427677866,391.2940148791745,265.304168670282
labeled-data,out1_h264_acq1,img04260.png,,,763.4005105070469,167.29942355754287,,,,,,,,,,,880.716781057838,209.82657163220466,658.3046848052965,211.78184280805118,472.0651053059155,200.5390335469337
labeled-data,out1_h264_acq1,img04322.png,,,697.3225865821131,148.05362020899852,595.3445915722301,243.60780450959757,,,674.8392490996193,262.8792366374495,,,532.7124371567115,158.492312611585,558.0061918245173,133.6000461131096,,,,
labeled-data,out1_h264_acq1,img04370.png,299.78264911593016,274.51866086864504,462.4763751637983,145.3648721906451,399.4012690652402,273.01687262820315,356.35000617257356,269.0121039870249,,,,,,,,,550.5812852697206,169.39348403771487,770.8435605345267,135.85354666784667
labeled-data,out1_h264_acq1,img04483.png,123.34676100764099,258.30891447325007,363.0032627693845,239.1363943323106,283.75684618683465,473.68022405647014,250.52447794253956,450.03411588264476,426.27257923448474,389.3211354363365,,,252.44172995663348,241.0536463464045,,,,,,
